,amp
881,0.72876061
882,0.72876061
883,0.728760609
884,0.728760609
885,0.728760608
886,0.728760607
887,0.728760607
888,0.728760606
889,0.728760605
890,0.728760604
891,0.728760602
892,0.728760601
893,0.7287606
894,0.728760598
895,0.728760596
896,0.728760594
897,0.728760591
898,0.728760588
899,0.728760585
900,0.728760582
901,0.728760578
902,0.728760573
903,0.728760568
904,0.728760562
905,0.728760556
906,0.728760549
907,0.728760541
908,0.728760532
909,0.728760522
910,0.728760511
911,0.728760499
912,0.728760485
913,0.728760469
914,0.728760452
915,0.728760432
916,0.72876041
917,0.728760386
918,0.728760359
919,0.728760329
920,0.728760295
921,0.728760258
922,0.728760216
923,0.72876017
924,0.728760118
925,0.728760061
926,0.728759997
927,0.728759926
928,0.728759847
929,0.728759759
930,0.728759662
931,0.728759554
932,0.728759434
933,0.728759301
934,0.728759154
935,0.728758991
936,0.728758811
937,0.728758611
938,0.72875839
939,0.728758146
940,0.728757876
941,0.728757577
942,0.728757247
943,0.728756883
944,0.728756481
945,0.728756038
946,0.728755549
947,0.728755011
948,0.728754417
949,0.728753763
950,0.728753044
951,0.728752252
952,0.72875138
953,0.728750422
954,0.72874937
955,0.728748213
956,0.728746943
957,0.728745549
958,0.728744019
959,0.728742341
960,0.728740501
961,0.728738485
962,0.728736277
963,0.728733859
964,0.728731213
965,0.728728317
966,0.728725151
967,0.72872169
968,0.728717908
969,0.728713777
970,0.728709267
971,0.728704346
972,0.728698977
973,0.728693123
974,0.728686742
975,0.72867979
976,0.72867222
977,0.728663978
978,0.728655011
979,0.728645257
980,0.728634653
981,0.728623129
982,0.728610611
983,0.728597017
984,0.728582263
985,0.728566256
986,0.728548897
987,0.72853008
988,0.72850969
989,0.728487605
990,0.728463695
991,0.72843782
992,0.728409829
993,0.728379564
994,0.728346852
995,0.728311511
996,0.728273345
997,0.728232147
998,0.728187694
999,0.72813975
1000,0.728088061
1001,0.72803236
1002,0.727972359
1003,0.727907755
1004,0.727838224
1005,0.727763421
1006,0.727682982
1007,0.727596518
1008,0.727503617
1009,0.727403843
1010,0.727296733
1011,0.727181796
1012,0.727058513
1013,0.726926334
1014,0.726784678
1015,0.726632929
1016,0.726470439
1017,0.726296521
1018,0.726110451
1019,0.725911466
1020,0.725698759
1021,0.725471481
1022,0.72522874
1023,0.724969593
1024,0.724693052
1025,0.724398075
1026,0.724083567
1027,0.723748382
1028,0.723391312
1029,0.723011093
1030,0.722606399
1031,0.722175839
1032,0.72171796
1033,0.721231237
1034,0.720714078
1035,0.720164817
1036,0.719581715
1037,0.718962954
1038,0.718306641
1039,0.717610797
