,amp
706,0.14702728385378377
707,0.14981089862811323
708,0.15263235157928476
709,0.15549203037094222
710,0.15838987810652508
711,0.16132626601579889
712,0.1643011222169509
713,0.1673148007335184
714,0.17036721392064066
715,0.17345869782714568
716,0.17658914827319994
717,0.17975888257250935
718,0.1829677792453288
719,0.18621613611992105
720,0.18950381366232139
721,0.1928310894747824
722,0.19619780522760896
723,0.19960421757047325
724,0.2030501486509065
725,0.2065358334552368
726,0.21006107389737327
727,0.2136260826067184
728,0.21723064057281602
729,0.22087493739495076
730,0.22455873246794522
731,0.22828219171040054
732,0.23204505227549793
733,0.23584745577468155
734,0.23968911649945643
735,0.24357015115413067
736,0.2474902505760737
737,0.2514495059925697
738,0.25544758422337777
739,0.2594845504808263
740,0.2635600470375195
741,0.26767411258464346
742,0.2718263643537936
743,0.2760168140451699
744,0.28024505339080125
745,0.28451106666959075
746,0.2888144196950263
747,0.29315506893308596
748,0.2975325539020058
749,0.30194680290529374
750,0.3063973288314967
751,0.3108840315181724
752,0.31540639693453776
753,0.3199642961940171
754,0.3245571881050602
755,0.3291849148459691
756,0.33384690787302224
757,0.3385429802681928
758,0.34327253599381746
759,0.3480353589280739
760,0.35283082544880723
761,0.3576586901746143
762,0.3625183018647589
763,0.3674093858771091
764,0.3723312633721524
765,0.3772836305030742
766,0.3822657809079611
767,0.3872773816476453
768,0.39231769897359337
769,0.397386371025057
770,0.40248263686156543
771,0.40760610593031515
772,0.41275599035287996
773,0.41793187117616226
774,0.42313293389803586
775,0.4283587315168947
776,0.4336084232837609
777,0.43888153456082596
778,0.44417719879028944
779,0.44949491417424514
780,0.45483378884593756
781,0.4601932943846587
782,0.46557251417706313
783,0.4709708937790426
784,0.4763874924551112
785,0.48182173040049997
786,0.4872726434433089
787,0.49273962714199243
788,0.4982216946361478
789,0.5037182176317607
790,0.5092281873905405
791,0.5147509526105616
792,0.5202854835448587
793,0.5258311067900894
794,0.5313867725181979
795,0.5369517861885059
796,0.5425250788803657
797,0.5481059359358041
798,0.5536932703858019
799,0.5592863485346133
800,0.5648840664624664
801,0.5704856725680322
802,0.5760900471350943
803,0.58169642184156
804,0.5873036623809271
805,0.592910984944836
806,0.598517241891412
807,0.6041216352126543
808,0.6097230052329353
809,0.6153205410762973
810,0.6209130723821021
811,0.6264997767806298
812,0.6320794746173571
813,0.6376513334467508
814,0.6432141657508733
815,0.6487671304636684
816,0.6543090336732488
817,0.6598390271830241
818,0.6653559121897267
819,0.6708588348914416
820,0.6763465931271176
821,0.681818329043287
822,0.6872728386815901
823,0.6927092617171197
824,0.6981263939818114
825,0.7035233742808998
826,0.7088989998437767
827,0.7142524102288597
828,0.7195824056861818
829,0.7248881281644484
830,0.7301683825748465
831,0.7354223149048152
832,0.7406487363751706
833,0.7458467986686593
834,0.7510153209709525
835,0.7561534623223637
836,0.7612600515296054
837,0.7663342566526156
838,0.7713749177752313
839,0.7763812136336314
840,0.7813519972388254
841,0.7862864596552259
842,0.7911834684593164
843,0.7960422286828561
844,0.8008616240960621
845,0.8056408753185168
846,0.8103788839236464
847,0.8150748877232119
848,0.8197278076799764
849,0.8243369003789722
850,0.8289011077322962
851,0.8334197066502519
